categorie,question,reponse,note,sources
Fonctionnement général des technologies,Comment fonctionne un deepfake de manière générale ?,"Un deepfake fonctionne en plusieurs étapes : d'abord, une grande quantité de données vidéo et audio d'une personne cible est collectée. Ces données sont ensuite utilisées pour entraîner un réseau de neurones artificiels, souvent basé sur la technique des **GAN (Generative Adversarial Networks)** ou des réseaux neuronaux convolutifs (CNN), qui apprend à reproduire les caractéristiques du visage et de la voix de cette personne. L'IA peut alors générer de nouveaux contenus en superposant le visage ou la voix de la personne cible sur une autre vidéo, créant ainsi un contenu audiovisuel faux mais d'apparence réaliste.",9,https://www.acbm-avocats.com/images-generees-par-ia-et-deepfakes-quels-recours-en-cas-datteinte-a-limage/ | https://tech-culture-mag.fr/blog/realite-des-deepfakes-xdohb | https://mag.bouyguestelecom.fr/cybersecurite/arnaques/deepfakes-danger-detecter/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.blog-united.com/logiciel-deepfake/
Fonctionnement général des technologies,Comment une IA apprend-elle à imiter une voix humaine ?,"L'IA analyse un échantillon vocal et le décompose en caractéristiques uniques comme la hauteur, le ton, l'accent, le rythme et les schémas respiratoires. Elle utilise notamment des réseaux antagonistes génératifs (GAN), où une partie génère l'audio et une autre vérifie son authenticité par rapport à l'échantillon d'origine. Ce processus se répète des milliers de fois jusqu'à ce que la voix générée devienne de plus en plus réaliste. Des outils comme ElevenLabs affirment pouvoir créer un clone fonctionnel à partir de seulement trois secondes d'audio.",9,https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://www.gerezmieuxvotreargent.ca/chemin-dapprentissage/types-de-fraude/escroqueries-de-clonage-vocal-par-ia/ | https://www.innovation-pedagogique.fr/article19151.html | https://truescreen.io/articles/deepfake-complete-guide/
Fonctionnement général des technologies,De quelles données une IA a-t-elle besoin pour créer un deepfake ?,"Pour créer un deepfake, une IA a besoin d'un grand nombre d'images et de vidéos de la personne à imiter, prises sous différents angles, dans différentes conditions d'éclairage et avec différentes expressions. Des données audio sont également nécessaires si l'on souhaite reproduire la voix. La qualité et la diversité de ces données sont cruciales : elles subissent généralement un prétraitement (redimensionnement, rognage) avant d'être utilisées pour entraîner les modèles d'IA.",9,https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://www.acbm-avocats.com/images-generees-par-ia-et-deepfakes-quels-recours-en-cas-datteinte-a-limage/ | https://www.blog-united.com/logiciel-deepfake/
Fonctionnement général des technologies,Combien de temps faut-il pour créer un deepfake ?,"Le temps nécessaire pour créer un deepfake varie considérablement selon la qualité souhaitée et les outils utilisés. En 2018, un deepfake convaincant pouvait nécessiter jusqu'à 56 heures de rendu automatisé, voire quatre à cinq semaines de calcul sur un très bon ordinateur. Aujourd'hui, un résultat comparable est réalisable en moins d'une heure avec des logiciels gratuits, bien que les deepfakes très convaincants en haute résolution nécessitent toujours du matériel sophistiqué et une puissance de traitement importante.",9,https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://truescreen.io/articles/deepfake-complete-guide/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/
Fonctionnement général des technologies,Est-ce que créer un deepfake nécessite des compétences techniques ?,"Cela dépend du niveau de qualité souhaité. La création de deepfakes basiques est devenue accessible à tous grâce à des applications conviviales et des tutoriels en ligne, certains outils étant même gratuits. En revanche, produire des deepfakes très convaincants et en haute résolution nécessite toujours un savoir-faire technique, du matériel sophistiqué et une puissance de traitement importante.",9,https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://us.norton.com/blog/emerging-threats/what-are-deepfakes
Fonctionnement général des technologies,Quelles différences entre un deepfake vidéo et un deepfake audio ?,"Les documents fournis ne détaillent pas explicitement les différences entre un deepfake **vidéo** et un deepfake **audio** en tant que catégories distinctes. Ils mentionnent simplement que le deepfake peut porter sur la vidéo, l'audio ou les deux combinés (superposition de visages et de voix sur des vidéos existantes), et que des indices comme un son ne correspondant pas aux mouvements des lèvres ou une voix robotique peuvent trahir une manipulation. Pour une comparaison approfondie entre ces deux types, il faudrait consulter des sources plus spécialisées.",5,https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://truescreen.io/articles/deepfake-complete-guide/ | https://mag.bouyguestelecom.fr/cybersecurite/arnaques/deepfakes-danger-detecter/
Fonctionnement général des technologies,Comment les IA génèrent-elles des articles de presse crédibles ?,"Les IA génératives, notamment les modèles de langage avancés comme ChatGPT, sont utilisées dans les rédactions pour produire rapidement des contenus courts comme des brèves sportives, météorologiques ou financières. Elles peuvent également adapter le style rédactionnel selon le public visé grâce à la personnalisation automatisée. Toutefois, les journalistes supervisent chaque contenu avant publication et ajoutent du contexte et une analyse experte si nécessaire.",4,https://larevuedesmedias.ina.fr/sites/default/files/2025-02/Alliance_for_facts_IA_journalisme_FR_compressed_0.pdf | https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html | https://www.narratiiv.school/actualites/journalisme/comment-les-journalistes-utilisent-ils-l-ia
Fonctionnement général des technologies,Qu’est-ce qu’un modèle de langage (comme ChatGPT) ?,"Un modèle de langage comme ChatGPT est un agent conversationnel entraîné sur une grande quantité de textes (livres, articles, discussions en ligne, etc.) pour comprendre et générer du texte. Il utilise des techniques de traitement du langage naturel (NLP) pour comprendre les phrases, leur structure et leur sens, ce qui lui permet de répondre à des questions, de tenir des conversations, de rédiger, traduire ou résumer des textes, et même de générer du code informatique. Plus précisément, les grands modèles de langage (LLM) constituent la composante de l'IA générative chargée de générer du texte.",9,https://www.projet-voltaire.fr/ressources/detecter-texte-chatgpt-ia-generative/ | https://www.elastic.co/fr/what-is/large-language-models | https://appian.com/fr/blog/acp/process-automation/generative-ai-vs-large-language-models
Fonctionnement général des technologies,Pourquoi les IA peuvent-elles produire des textes très convaincants ?,"D'après les documents, les IA produisent des textes convaincants car elles génèrent du texte en se basant sur des modèles issus de leurs données d'apprentissage, ce qui leur permet d'utiliser un vocabulaire large et de produire des textes cohérents, logiques et souvent bien structurés. Elles restent généralement dans des cadres neutres et logiques, ce qui peut donner une apparence professionnelle au résultat.

Cependant, cette apparence peut être trompeuse, car ces textes peuvent en réalité être superficiels, manquer d'esprit critique, de personnalité, et parfois contenir des informations fausses (hallucinations).",9,https://cours-ndrc.fr/detecter-ecriture-ia-guide-2026/ | https://fr.semrush.com/blog/comment-detecter-contenus-rediges-ia-et-plagiat/ | https://www.projet-voltaire.fr/ressources/detecter-texte-chatgpt-ia-generative/ | https://www.lebigdata.fr/clonage-voix-ia-arnaque
Fonctionnement général des technologies,Est-ce que les IA comprennent réellement ce qu’elles écrivent ?,"Selon les documents, non. Les outils IA ""génèrent du texte en se basant sur des modèles dans leurs données d'apprentissage"" mais ne ""comprennent"" pas ce qu'ils écrivent de la même manière que les humains. Cela se traduit par des réponses superficielles, un manque d'esprit critique et d'analyse approfondie, ainsi qu'une absence de personnalité et d'émotion dans les textes produits.",8,https://www.projet-voltaire.fr/ressources/detecter-texte-chatgpt-ia-generative/ | https://fr.semrush.com/blog/comment-detecter-contenus-rediges-ia-et-plagiat/ | https://cours-ndrc.fr/detecter-ecriture-ia-guide-2026/ | https://appian.com/fr/blog/acp/process-automation/generative-ai-vs-large-language-models
Usages malveillants et risques,À quoi servent les deepfakes dans des campagnes de désinformation ?,"Les deepfakes dans des campagnes de désinformation servent à manipuler l'opinion publique en faisant croire que des personnalités politiques ou publiques ont dit ou fait quelque chose de compromettant. Ils peuvent déstabiliser des processus électoraux, endommager des relations diplomatiques, inciter à des conflits ou encore manipuler les marchés financiers. Le Forum économique mondial classe d'ailleurs la désinformation alimentée par l'IA comme la principale menace mondiale pour les deux prochaines années.",10,https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://blog.mbadmb.com/deepfake-videos-reseaux-sociaux-dangers/ | https://blog.economie-numerique.net/2025/06/04/quand-ia-defie-la-realite-deepfakes/ | https://www.ibm.com/think/insights/new-wave-deepfake-cybercrime
Usages malveillants et risques,Comment l’IA peut influencer une élection ?,"L'IA peut influencer une élection de plusieurs façons :

- **Les deepfakes** : des contenus audio ou vidéo truqués peuvent tromper les électeurs. Par exemple, en Slovaquie en 2023, un faux enregistrement d'un chef de parti pro-européen prétendant manipuler les élections a pu influencer des électeurs.

- **La désinformation automatisée** : des chatbots peuvent relayer des informations fausses à grande échelle, et des images générées par IA peuvent circuler sans mention de leur origine artificielle, comme cela a été observé lors des élections françaises et européennes de 2024.

- **Les campagnes de manipulation politique** : des outils comme ChatGPT ou les générateurs d'images pourraient être utilisés à des fins politiques pour influencer le vote des électeurs, ce qui a conduit OpenAI à s'engager à interdire de tels usages.",9,https://3wacademy.fr/ecole/actualites/des-ia-pour-lutter-contre-la-desinformation | https://www.radiofrance.fr/franceinfo/podcasts/les-voies-de-l-ia/deepfakes-quand-l-ia-cherche-a-nous-desinformer-8330799 | https://factuel.afp.com/doc.afp.com.36XH7V4
Usages malveillants et risques,Peut-on usurper l’identité de quelqu’un avec un deepfake ?,"Oui, un deepfake peut être utilisé pour usurper l'identité de quelqu'un, bien qu'il ne constitue pas en lui-même un vol d'identité. Il peut servir dans des arnaques ou des schémas d'usurpation qui mènent à ce vol, par exemple en trompant une victime pour qu'elle partage des informations personnelles ou transfère de l'argent. Les cybercriminels peuvent notamment utiliser des voix clonées ou des vidéos hyperréalistes pour se faire passer pour quelqu'un d'autre, ce qui représente une menace croissante notamment dans les secteurs bancaire et de la cybersécurité.",9,https://www.datacamp.com/fr/blog/deepfakes | https://pedagogie.ac-toulouse.fr/emi/deepfake-et-ia-comment-proteger-vos-enfants | https://www.ibm.com/think/x-force/weaponizing-reality-evolution-deepfake-technology | https://us.norton.com/blog/emerging-threats/what-are-deepfakes | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/
Usages malveillants et risques,Comment les escrocs utilisent le voice cloning ?,"Les escrocs utilisent le clonage vocal en récupérant des enregistrements audio de leurs cibles (vidéos sur les réseaux sociaux, apparitions télévisées, etc.), parfois avec seulement quelques secondes d'audio, pour reproduire fidèlement leur voix grâce à des outils d'IA. Ils se font ensuite passer pour un proche (enfant, conjoint, petit-fils) ou un collègue en situation d'urgence — accident, emprisonnement, besoin de fonds immédiats — en jouant sur les émotions, la peur et le sentiment d'urgence pour pousser les victimes à envoyer de l'argent rapidement, avant qu'elles ne réalisent la supercherie.",9,https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://www.unesco.org/en/articles/deepfakes-and-crisis-knowing | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.lorientlejour.com/article/1345050/la-voix-clonee-par-lia-de-nouvelles-arnaques-en-vue.html
Usages malveillants et risques,Est-ce que les deepfakes sont utilisés pour faire du chantage ?,"Oui, selon les documents, les deepfakes sont effectivement utilisés à des fins de chantage. Ils peuvent servir à créer des contenus intimes ou pornographiques compromettants en modifiant le visage d'une personne, puis être utilisés comme moyen de pression, entraînant de graves conséquences sur la vie professionnelle et personnelle des victimes.",9,https://decisionia.com/deepfakes-desinformation-protection-entreprises/ | https://lefteo.fr/les-deepfakes-sur-les-reseaux-sociaux/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/
Usages malveillants et risques,Les entreprises peuvent-elles être ciblées par de fausses vidéos ?,"Oui, les entreprises peuvent être ciblées par des deepfakes. Des acteurs malveillants peuvent utiliser ces vidéos falsifiées dans des campagnes de désinformation financière ou concurrentielle pour manipuler l'opinion publique ou les décisions d'achat des clients. L'impact économique direct de ces attaques peut atteindre plusieurs millions d'euros, sans compter les coûts liés à la réputation, les agences de notation pouvant baisser les scores de confiance des organisations visées. Les dégâts collatéraux peuvent également affecter les collaborateurs, les fournisseurs et l'écosystème commercial.",9,https://www.netcost-security.fr/guides/guides-tech/237707/ne-te-laisse-pas-tromper-voici-comment-detecter-un-deepfake/ | https://decisionia.com/deepfakes-desinformation-protection-entreprises/ | https://truescreen.io/articles/deepfake-complete-guide/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive
Usages malveillants et risques,Est-ce que les enfants et adolescents sont particulièrement exposés ?,"Oui, les enfants et adolescents sont particulièrement exposés à la désinformation et aux deepfakes. Les enfants font naturellement confiance à ce qu'ils voient et entendent, et passent beaucoup de temps sur les réseaux sociaux où ces contenus se propagent rapidement. Les adolescents, quant à eux, sont vulnérables en raison de biais cognitifs comme la crédulité, l'effet de confirmation et l'ancrage mental : leur manque d'expérience et de pensée critique développée les rend plus enclins à accepter des informations sans les remettre en question, et à s'accrocher à des croyances erronées même face à des preuves contraires.",9,https://www.mon-enfant-et-les-ecrans.fr/deepfake-le-faux-plus-vrai-que-nature/ | https://www.meta-media.fr/2023/05/20/notre-cerveau-aime-la-desinformation.html | https://ici.radio-canada.ca/nouvelle/1173415/pourquoi-croyance-fausses-nouvelles-complots-cerveau-biais-cognitifs | https://www.innovation-pedagogique.fr/article19151.html
Usages malveillants et risques,Comment l’IA peut amplifier la vitesse de propagation des fake news ?,"L'IA amplifie la propagation des fake news en permettant une **automatisation totale** de la création et de la diffusion de faux contenus : elle peut générer massivement des contenus, créer des faux comptes, les alimenter et les faire interagir entre eux, voire avec de vrais utilisateurs. Les commanditaires exploitent les capacités des grands modèles de langage (LLM) pour industrialiser la diffusion de désinformation à grande échelle. À cela s'ajoutent les deepfakes et images générées par IA qui rendent les fausses informations plus crédibles, tandis que les algorithmes des réseaux sociaux favorisent leur propagation rapide — une étude du MIT révélant déjà en 2018 que les fake news se répandent six fois plus vite que les vraies informations sur Twitter.",9,https://www.strategies.fr/actualites/tribunes/LQ5118480C/fake-news-la-chaine-lia-passe-loffensive-ludovic-desgranges-newscore.html | https://mutuelleratp.fr/l-essentiel-de-votre-mutuelle/reseaux-sociaux-les-dangers-de-la-desinformation/ | https://larevuedesmedias.ina.fr/les-deepfakes-sont-ils-une-arme-dillusion-massive | https://lucide.ai/desinformation-detection-ia/
Usages malveillants et risques,Peut-on utiliser l’IA pour créer des faux témoignages ?,"Oui, l'IA peut potentiellement être utilisée pour créer de faux témoignages. Les outils de clonage vocal par IA sont capables de produire des clones de voix avec 85% de correspondance, et il existe plus d'une dizaine d'outils gratuits disponibles sur Internet. Par ailleurs, des deepfakes audio, vidéo ou image peuvent être générés et sont suffisamment convaincants pour que leur détection humaine soit complexe, ce qui représente notamment un risque dans le contexte judiciaire où des outils de détection spécialisés sont recommandés pour identifier ces contenus falsifiés.",8,https://www.lebigdata.fr/clonage-voix-ia-arnaque | https://3wacademy.fr/ecole/actualites/des-ia-pour-lutter-contre-la-desinformation | https://www.isba.org/sections/bench/newsletter/2025/03/deepfakesinthecourtroomproblemsandsolutions | https://www.radiofrance.fr/franceinfo/podcasts/les-voies-de-l-ia/deepfakes-quand-l-ia-cherche-a-nous-desinformer-8330799 | https://www.unesco.org/en/articles/new-unesco-report-warns-generative-ai-threatens-holocaust-memory
Usages malveillants et risques,Les réseaux sociaux favorisent-ils la diffusion des deepfakes ?,"Oui, les réseaux sociaux constituent un terrain fertile pour la propagation des deepfakes. Grâce à la viralité des contenus et à la capacité de ces plateformes à diffuser massivement des informations, une vidéo deepfake peut se répandre rapidement avant même d'être vérifiée. Des plateformes comme Facebook, Twitter, Instagram ou TikTok rendent ainsi la tâche de démêler le vrai du faux extrêmement difficile pour les utilisateurs.",9,https://blog.mbadmb.com/deepfake-videos-reseaux-sociaux-dangers/ | https://www.sentinelone.com/fr/cybersecurity-101/cybersecurity/deepfakes/ | https://www.jeuneafrique.com/1622765/politique/les-deepfakes-armes-de-destruction-massive-entre-lukraine-et-la-russie/
Reconnaître et détecter la désinformation,Comment reconnaître un deepfake vidéo ?,"Pour reconnaître un deepfake vidéo, plusieurs indices visuels peuvent alerter : des anomalies dans le clignement des yeux (trop fréquent, trop rare ou anormal), des mouvements de lèvres désynchronisés, des incohérences dans l'éclairage ou les ombres, ainsi que des artefacts numériques comme des pixels incohérents ou des mouvements anormaux. On peut également repérer une peau ou des cheveux qui semblent bizarres, ou un visage qui paraît plus flou que l'environnement qui l'entoure. Cependant, les deepfakes deviennent de plus en plus sophistiqués et difficiles à détecter à l'œil nu.",9,https://www.lebigdata.fr/deepfake-tout-savoir | https://lucide.ai/desinformation-detection-ia/ | https://www.lemagit.fr/actualites/366638742/5-outils-de-detection-des-deepfakes-pour-proteger-les-utilisateurs-professionnels | https://www.idaos.com/service-ia/deepfakes-tiktok-lutte-contre-desinformation-generee-ia/ | https://www.groupeonepoint.com/fr/publications/deepfakes-revelateurs-de-nos-vulnerabilites-cognitives/
Reconnaître et détecter la désinformation,Existe-t-il des signes qui trahissent un deepfake audio ?,"Oui, plusieurs signes peuvent trahir un deepfake audio :

- **Distorsions et bruits incohérents** : des échos étranges ou des bruits de fond incompatibles avec l'environnement visible dans la vidéo sont des indicateurs suspects.
- **Voix non naturelle** : la voix peut sembler robotique, manquer d'inflexions et d'émotions, avoir une intonation monotone ou des pauses non naturelles.
- **Absence de sons humains spontanés** : les toussotements, hésitations, reformulations ou bruits de respiration entre les phrases sont souvent absents dans les deepfakes.
- **Désynchronisation** : le son peut ne pas correspondre aux mouvements des lèvres de la personne.
- **Bruits de fond génériques ou en boucle** : un fond sonore statique ou répétitif peut être utilisé pour masquer les imperfections du clone vocal.",10,https://www.keepersecurity.com/blog/fr/2024/09/19/what-are-deepfakes/ | https://www.mcafee.com/blogs/fr-fr/internet-security/le-guide-ultime-des-deepfakes-generes-par-lia/ | https://truescreen.io/articles/deepfake-complete-guide/ | https://mag.bouyguestelecom.fr/cybersecurite/arnaques/deepfakes-danger-detecter/ | https://www.mcafee.com/learn/fr/guide-sur-les-escroqueries-de-type-deepfake-et-lusurpation-vocale-par-lia/
